Name,data,metric
multisimilarity,1,precision@1
triplet,1,precision@1
contrastive,1,precision@1
cosface,0,precision@1
softtriple,1,precision@1
arcface,0.005,precision@1
proxyNCA,0.175,precision@1
multisimilarity,0.692,precision@5
triplet,0.22,precision@5
contrastive,0.213,precision@5
cosface,0.007,precision@5
softtriple,0.7,precision@5
arcface,0.006,precision@5
proxyNCA,0.094,precision@5
multisimilarity,0.6105,precision@10
triplet,0.116,precision@10
contrastive,0.114,precision@10
cosface,0.005,precision@10
softtriple,0.6295,precision@10
arcface,0.0055,precision@10
proxyNCA,0.072,precision@10
multisimilarity,0.531,precision@20
triplet,0.06375,precision@20
contrastive,0.06325,precision@20
cosface,0.00625,precision@20
softtriple,0.55325,precision@20
arcface,0.00475,precision@20
proxyNCA,0.055,precision@20
multisimilarity,0.483,precision@30
triplet,0.046833333,precision@30
contrastive,0.047833333,precision@30
cosface,0.006166667,precision@30
softtriple,0.501166667,precision@30
arcface,0.0045,precision@30
proxyNCA,0.0465,precision@30
