Name,data,metric
multisimilarity,0.016926974,recall@1
triplet,0.016926974,recall@1
contrastive,0.016926974,recall@1
cosface,0,recall@1
softtriple,0.016926974,recall@1
arcface,8.33E-05,recall@1
proxyNCA,0.002951262,recall@1
multisimilarity,0.058558413,recall@5
triplet,0.018618536,recall@5
contrastive,0.018053329,recall@5
cosface,0.000583333,recall@5
softtriple,0.059195987,recall@5
arcface,0.000501412,recall@5
proxyNCA,0.007895517,recall@5
multisimilarity,0.103338391,recall@10
triplet,0.019661501,recall@10
contrastive,0.019310693,recall@10
cosface,0.000834746,recall@10
softtriple,0.106444221,recall@10
arcface,0.000920904,recall@10
proxyNCA,0.012118791,recall@10
multisimilarity,0.179799162,recall@20
triplet,0.021641358,recall@20
contrastive,0.021425937,recall@20
cosface,0.002090395,recall@20
softtriple,0.187202055,recall@20
arcface,0.001593523,recall@20
proxyNCA,0.018497185,recall@20
multisimilarity,0.245223812,recall@30
triplet,0.02384004,recall@30
contrastive,0.024290364,recall@30
cosface,0.00309322,recall@30
softtriple,0.254200719,recall@30
arcface,0.002274714,recall@30
proxyNCA,0.023457974,recall@30
