Name,metric,data
multisimilarity,precision@1,200.005
triplet,precision@1,200.005
contrastive,precision@1,200.005
cosface,precision@1,200.005
softtriple,precision@1,200.005
arcface,precision@1,1
proxyNCA,precision@1,28
multisimilarity,precision@5,200.005
triplet,precision@5,200.005
contrastive,precision@5,200.005
cosface,precision@5,200.005
softtriple,precision@5,200.005
arcface,precision@5,1
proxyNCA,precision@5,21
multisimilarity,precision@10,141.603
triplet,precision@10,44.001
contrastive,precision@10,43.601
cosface,precision@10,46.001
softtriple,precision@10,142.802
arcface,precision@10,1
proxyNCA,precision@10,14
multisimilarity,precision@20,83.201
triplet,precision@20,41.401
contrastive,precision@20,41.801
cosface,precision@20,42.401
softtriple,precision@20,86.801
arcface,precision@20,0.6
proxyNCA,precision@20,9.4
multisimilarity,precision@30,123.7025
triplet,precision@30,24.001
contrastive,precision@30,23.1005
cosface,precision@30,25.9005
softtriple,precision@30,128.202
arcface,precision@30,1.1
proxyNCA,precision@30,12.0005
