Name,metric,data
multisimilarity,recall@1,3.377160125
triplet,recall@1,3.377160125
contrastive,recall@1,3.377160125
cosface,recall@1,3.377160125
softtriple,recall@1,3.377160125
arcface,recall@1,0.016666667
proxyNCA,recall@1,0.474928779
multisimilarity,recall@5,6.864365253
triplet,recall@5,6.864365253
contrastive,recall@5,6.864365253
cosface,recall@5,6.864365253
softtriple,recall@5,6.864365253
arcface,recall@5,0.033333333
proxyNCA,recall@5,0.719851186
multisimilarity,recall@10,11.95812351
triplet,recall@10,3.714517441
contrastive,recall@10,3.681778814
cosface,recall@10,3.884058183
softtriple,recall@10,12.06504705
arcface,recall@10,0.083908046
proxyNCA,recall@10,1.187938483
multisimilarity,recall@20,14.25981373
triplet,recall@20,7.097698586
contrastive,recall@20,7.164365253
cosface,recall@20,7.268962954
softtriple,recall@20,14.85779829
arcface,recall@20,0.1
proxyNCA,recall@20,1.621799986
multisimilarity,recall@30,20.89978992
triplet,recall@30,4.05127505
contrastive,recall@30,3.898727967
cosface,recall@30,4.36852146
softtriple,recall@30,21.65745678
arcface,recall@30,0.183908046
proxyNCA,recall@30,2.027619898
